lsmh_id,lifepak_id,action,notes
LSMH01641,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01643,668772,keep,
LSMH01644,919331,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01645,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01652,556041,keep,
LSMH01653,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01654,844751,keep,
LSMH01656,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01657,023754,keep,
LSMH01660,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01662,143200,keep,
LSMH01668,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01677,570852,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01679,207085,keep,
LSMH01683,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01684,358452,keep,
"LSMH01693",NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01694,888967,keep,
LSMH01702,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01706,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01709,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01710,723906,keep,
LSMH01714,232616,keep,
LSMH01725,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01729,466267,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01741,253356,keep,
LSMH01743,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01745,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01753,694614,keep,
LSMH01757,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01758,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01766,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01768,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01775,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01783,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01786,326117,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01786,867499,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01787,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01791,821739,keep,
LSMH01795,816020,keep,
LSMH01811,764447,drop,"Invalid, per README_ttt_p2_data_collection"
LSMH01814,711645,keep,
LSMH01817,857136,keep,
LSMH01820,917619,keep,"Used two LifePak IDs; opted out but data can be used, per README_ttt_p2_data_collection"
LSMH01820,217510,keep,"Used two LifePak IDs; opted out but data can be used, per README_ttt_p2_data_collection"
LSMH01821,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01826,886941,keep,
LSMH01829,337896,keep,
LSMH01836,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01838,680039,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01839,083539,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01840,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01841,131166,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01841,303379,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01844,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01846,539251,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01853,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01856,925468,keep,
LSMH01857,588876,keep,
LSMH01861,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01871,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01875,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01879,680517,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01880,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01884,404350,drop,"Invalid, per README_ttt_p2_data_collection"
LSMH01886,347614,keep,
LSMH01892,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01894,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01895,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01896,240896,keep,
LSMH01898,038363,keep,
LSMH01900,341334,keep,
LSMH01901,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01903,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01904,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01907,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01912,195128,keep,
LSMH01914,063040,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01914,500856,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01918,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01920,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01921,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01928,275386,keep,
LSMH01938,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01940,945143,keep,
LSMH01943,056101,keep,
LSMH01944,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01945,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01950,550665,keep,
LSMH01956,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01959,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01965,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01967,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01968,984661,keep,
LSMH01969,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01978,054488,keep,
LSMH01989,576558,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01989,995977,keep,"Used two LifePak IDs, per README_ttt_p2_data_collection"
LSMH01991,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01992,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01997,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH01999,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02007,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02016,651465,keep,
LSMH02020,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02022,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02033,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02044,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02045,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02054,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02055,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02057,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02060,552987,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02061,820860,keep,
LSMH02070,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02076,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02077,208948,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02078,689283,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02079,724556,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02080,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02081,733531,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02091,424178,keep,
LSMH02095,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02097,684409,keep,
LSMH02105,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02112,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02115,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02116,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02119,272694,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02122,NA,keep,"""No contact,"" per Track to Treat P2 Tracking Log 2.0"
LSMH02127,NA,keep,"""Not interested,"" per Track to Treat P2 Tracking Log 2.0"
